Id	EssaySet	Score1	Score2	EssayText
56	1	2	2	A Computer is a machine that accepts data and processes that data (data may be numbers, letters or both or even sounds). Information is turned into electrical pulses so that it may be processed by sorting, collating and deleting mathematical manipulation and other forms of data processing.
57	1	2	2	A computer accepts information using an input device. The information is processed by a central processing unit or stored in a storage unit i.e. Hard Disk and then processed. The result is supplied by an output devices.
58	1	1	1	It is a collection of entities that work together to input data, process it and present information.
59	1	1	1	Computing is the process of utilizing computer technology to complete a task.
60	1	0	0	Computers play a formative role in the scientific study of the mind and brain. One important research method is to model a particular mental ability within a computer program.
61	1	2	2	An electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program.
62	1	1	1	A computer can be defined broadly as any of a class of man-made devices or systems that can modify data in some meaningful way.
63	1	0	0	The term computer originally referred to a person whose profession was spending all day at the tedious task of doing calculations with a pencil and paper.
64	1	0	0	Computers can also be looked at as being much broader than just being single machines at single locations. This is because computing has becoming increasingly distributed, with various aspects of data entry, processing and storage occurring at different locations on a network.
65	1	3	3	Computer is an electronic machine that is used for storing, organizing, and finding words, numbers, and pictures, for doing calculations, and for controlling other machines.
66	1	3	3	Computer is an electronic device that can store large amounts of information and be given sets of instructions to organize and change it very quickly.
67	1	3	3	Computer is an electronic machine that calculates data very quickly, used for storing, writing, organizing, and sharing information electronically or for controlling other machines.
68	1	2	2	The definition of a computer is a person or electronic device that makes and stores quick calculations or processes information.
69	1	3	3	A programmable electronic device that performs mathematical calculations and logical operations, especially one that can process, store and retrieve large amounts of data very quickly.
70	1	2	1	Computer is a small one for personal or home use employed for manipulating text or graphics, accessing the Internet, or playing games or media.
71	1	1	2	A programmable machine that responds to specified instructions and can execute a list of instructions known as a program.
72	1	1	1	A general-purpose machine that processes data according to a set of instructions stored internally.
73	1	1	1	The computer performs all processing by "calculating," "comparing" and "copying" the data stored in its memory (RAM).
74	1	1	1	A system of interconnected computers that share a central storage system and various peripheral devices such as a printers, scanners, or routers.
75	1	0	0	Each computer connected to the system can operate independently, but has the ability to communicate with other external devices and computers.
76	1	2	2	A computer is an electronic machine that stores data (information) to work with and gives out the results.
77	1	0	0	Digital computers use binary code, a way of writing numbers using just zeros and ones, to store and work with the data.
78	1	0	1	Computers "talk" to each other on a network using a modem, one of the pieces of hardware called a peripheral because it is not a central part of the computer.
79	1	1	1	A computer is a device for working with information.
80	1	2	2	Computer process information that can be numbers, words, pictures, movies, or sounds. Computer information is also called data.
81	1	2	2	An electronic machine that can store and process data. A computer has hardware, which is the machine itself, and software, which is a set of instructions.
82	1	3	3	Computer responds to a specific set of instructions in a well-defined manner and it can execute a prerecorded list of instructions (a program).
83	1	1	1	A computer is an electronic machine that processes information—in other words, an information processor.
84	1	2	2	Computer takes in raw information (or data) at one end, stores it until it's ready to work on it, chews and crunches it for a bit, then spits out the results at the other end. All these processes have a name. 
85	1	2	2	A computer system is a basic, complete and functional computer, including all the hardware and software required to make it functional for a user.
86	1	2	2	A computer system allows users to input, manipulate and store data. 
87	1	1	1	Computer systems can work by themselves or access other devices that are external or connected with other computer systems.
88	1	0	0	Computer systems typically include a computer, monitor, keyboard, mouse and other optional components.
89	1	2	2	A computer is an electronic device, which stores data and processes information based upon the instructions provided by the user and generates the desired output.
90	1	1	1	A computer is a device that computes or calculates numbers.
91	1	2	2	"Computer" is defined as an electronic computing device, characterized by high speed and accuracy.
92	1	3	3	"Computer" is one of the electronic devices which can perform a set of integrated and consequent operations on a set of input data.
93	1	1	0	Computer can process these operations according to a set of instructions and orders which are logically and algorithmically coordinated to solve a specific problem to get useful information and results.
94	1	2	2	"Computer" is a set of electronic components called Hardware and controlled by a set of operating systems called Software.
95	1	1	1	Computer is a designed for multipurpose functions such as salaries and wages , and processing the storage operation in factories and establishments, analyze sales for they are flexible to assure efficiency , commercial , scientific, medical, and engineering fields.
96	1	1	1	A computer is a multipurpose electronic device that can receive, process and store data.
97	1	1	1	A computer is a machine that manipulates data according to a list of instructions called a program.
98	1	2	2	A computer can be defined as an electronic machine that accepts input (data), processes it and gives out results (information). A program or app (short for application program) in memory manages the processing.
99	1	2	2	A computer is also a (fairly complicated) tool intended to assist the user in accomplishing information-based tasks ranging from locating and acquiring data/information to to processing it to presenting or transmitting it.
100	1	0	1	A computer-based system is a system in which a computer is involved and consists of three major elements: Hardware, Software, and User.
