Id	EssaySet	Score1	Score2	EssayText
57	1	2	2	a comput accept inform us an input devic . the inform is process by a central process unit or store in a storag unit i . e . hard disk and then process . the result is suppli by an output devic .
58	1	1	1	it is a collect of entiti that work togeth to input data process it and present inform .
59	1	1	1	comput is the process of util comput technolog to complet a task .
60	1	0	0	comput plai a form role in the scientif studi of the mind and brain . on import research method is to model a particular mental abil within a comput program .
61	1	2	2	an electron devic for store and process data typic in binari form accord to instruct given to it in a variabl program .
62	1	1	1	a comput can be defin broadli as ani of a class of man made devic or system that can modifi data in some meaning wai .
63	1	0	0	the term comput origin refer to a person whose profess wa spend all dai at the tediou task of do calcul with a pencil and paper .
64	1	0	0	comput can also be look at as be much broader than just be singl machin at singl locat . thi is becaus comput ha becom increasingli distribut with variou aspect of data entri process and storag occur at differ locat on a network .
65	1	3	3	comput is an electron machin that is us for store organ and find word number and pictur for do calcul and for control other machin .
66	1	3	3	comput is an electron devic that can store larg amount of inform and be given set of instruct to organ and chang it veri quickli .
67	1	3	3	comput is an electron machin that calcul data veri quickli us for store write organ and share inform electron or for control other machin .
68	1	2	2	the definit of a comput is a person or electron devic that make and store quick calcul or process inform .
69	1	3	3	a programm electron devic that perform mathemat calcul and logic oper especi on that can process store and retriev larg amount of data veri quickli .
70	1	2	1	comput is a small on for person or home us emploi for manipul text or graphic access the internet or plai game or media .
71	1	1	2	a programm machin that respond to specifi instruct and can execut a list of instruct known as a program .
72	1	1	1	a gener purpos machin that process data accord to a set of instruct store intern .
73	1	1	1	the comput perform all process by calcul compar and copi the data store in it memori ram .
74	1	1	1	a system of interconnect comput that share a central storag system and variou peripher devic such as a printer scanner or rout .
75	1	0	0	each comput connect to the system can oper independ but ha the abil to commun with other extern devic and comput .
76	1	2	2	a comput is an electron machin that store data inform to work with and give out the result .
77	1	0	0	digit comput us binari code a wai of write number us just zero and on to store and work with the data .
78	1	0	1	comput talk to each other on a network us a modem on of the piec of hardwar call a peripher becaus it is not a central part of the comput .
79	1	1	1	a comput is a devic for work with inform .
80	1	2	2	comput process inform that can be number word pictur movi or sound . comput inform is also call data .
81	1	2	2	an electron machin that can store and process data . a comput ha hardwar which is the machin itself and softwar which is a set of instruct .
82	1	3	3	comput respond to a specif set of instruct in a well defin manner and it can execut a prerecord list of instruct a program .
83	1	1	1	a comput is an electron machin that process inform in other word an inform processor .
84	1	2	2	comput take in raw inform or data at on end store it until it s readi to work on it chew and crunch it for a bit then spit out the result at the other end . all these process have a name .
85	1	2	2	a comput system is a basic complet and function comput includ all the hardwar and softwar requir to make it function for a user .
86	1	2	2	a comput system allow user to input manipul and store data .
87	1	1	1	comput system can work by themselv or access other devic that ar extern or connect with other comput system .
88	1	0	0	comput system typic includ a comput monitor keyboard mous and other option compon .
89	1	2	2	a comput is an electron devic which store data and process inform base upon the instruct provid by the user and gener the desir output .
90	1	1	1	a comput is a devic that comput or calcul number .
91	1	2	2	comput is defin as an electron comput devic character by high speed and accuraci .
92	1	3	3	comput is on of the electron devic which can perform a set of integr and consequ oper on a set of input data .
93	1	1	0	comput can process these oper accord to a set of instruct and order which ar logic and algorithm alli coordin to solv a specif problem to get us inform and result .
94	1	2	2	comput is a set of electron compon call hardwar and control by a set of oper system call softwar .
95	1	1	1	comput is a design for multipurpos function such as salari and wage and process the storag oper in factori and establish analyz sale for thei ar flexibl to assur effici commerci scientif medic and engin field .
96	1	1	1	a comput is a multipurpos electron devic that can receiv process and store data .
97	1	1	1	a comput is a machin that manipul data accord to a list of instruct call a program .
98	1	2	2	a comput can be defin as an electron machin that accept input data process it and give out result inform . a program or apt short for applic program in memori manag the process .
99	1	2	2	a comput is also a fairli complic tool intend to assist the user in accomplish inform base task rang from locat and acquir data inform to to process it to present or transmit it .
100	1	0	1	a comput base system is a system in which a comput is involv and consist of three major element hardwar softwar and user .
