Id	EssaySet	Score1	Score2	EssayText
33	1	3	2	a comput is a devic that accept inform and manipul it for some result base on a program or sequenc of instruct on how the data is to be process a
34	1	2	2	a comput is a devic that accept inform in the form of digit size data and manipul it for some result base on a program or sequenc of instruct on how the data is to be process a
35	1	1	1	an electron machin which help in solv problem quickli and easili a
36	1	1	1	comput definit stem from the three step input process and output a
37	1	1	1	comput is a machin which can be instruct to accept process store and output data i
38	1	2	3	an electron devic design to accept data perform prescrib mathemat and logic oper at high speed and displai the result of these oper a
39	1	2	2	comput machin that perform task such as calcul or electron commun under the control of a set of instruct call a program a
40	1	3	3	an electron machin that can store organ and find inform do calcul and control other machin a
41	1	3	3	a comput is a programm machin that can execut a program list of instruct and respond to new instruct that it is given a
42	1	1	1	comput technic onli refer to the comput itself not the monitor keyboard and mous a still it is accept to refer to everyth togeth as the comput a
43	1	3	3	a comput is a devic or machin for make calcul or control oper that ar express in numer or logic term a
44	1	2	3	comput is a devic that comput especi a programm electron machin that perform high speed mathemat or logic oper or that assembl store correl or otherwis process inform c
45	1	1	1	comput is a devic which is reliabl consist versatil and ha fast process speed a
46	1	0	0	comput plai great role and becom part of the dai to dai activ of everi profess and industri a
47	1	1	2	comput is an electron machin that can store and work with larg amount of inform c
48	1	1	2	comput is an automat electron machin that can store and process data i
49	1	1	2	a comput is an electron machin that can store and deal with larg amount of inform c
50	1	2	2	a comput is a devic usual electron that process data accord to a set of instruct a
51	1	3	3	an electron machin which by mean of store instruct and inform perform rapid often complex calcul or compil correl and select data i
52	1	1	0	simpli speak comput is a calcul devic a
53	1	1	1	comput is deriv from the latin word comput mean to comput and can be appli as properli to an abacu or an ad machin as to the modern comput a
54	1	2	2	an electron machin can store and process inform c it is defin as store program digit comput system b
55	1	1	0	a comput is an electron devic of wire transistor circuit instruct and data can transmit store and manipul inform c
56	1	2	2	a comput is a machin that accept data and process that data data mai be number letter or both or even sound a inform is turn into electr puls so that it mai be process by sort collat and delet mathemat manipul and other form of data process a
57	1	2	2	a comput accept inform us an input devic a the inform is process by a central process unit or store in a storag unit i m e g hard disk and then process a the result is suppli by an output devic a
58	1	1	1	it is a collect of entiti that work togeth to input data process it and present inform c
59	1	1	1	comput is the process of util comput technolog to complet a task a
60	1	0	0	comput plai a form role in the scientif studi of the mind and brain a on import research method is to model a particular mental abil within a comput program a
61	1	2	2	an electron devic for store and process data typic in binari form accord to instruct given to it in a variabl program a
62	1	1	1	a comput can be defin broadli as ani of a class of man made devic or system that can modifi data in some meaning wai i
63	1	0	0	the term comput origin refer to a person whose profess wa spend all dai at the tediou task of do calcul with a pencil and paper i
64	1	0	0	comput can also be look at as be much broader than just be singl machin at singl locat a thi is becaus comput ha becom increasingli distribut with variou aspect of data entri process and storag occur at differ locat on a network a
65	1	3	3	comput is an electron machin that is us for store organ and find word number and pictur for do calcul and for control other machin a
66	1	3	3	comput is an electron devic that can store larg amount of inform and be given set of instruct to organ and chang it veri quickli i
67	1	3	3	comput is an electron machin that calcul data veri quickli us for store write organ and share inform electron or for control other machin a
68	1	2	2	the definit of a comput is a person or electron devic that make and store quick calcul or process inform c
69	1	3	3	a programm electron devic that perform mathemat calcul and logic oper especi on that can process store and retriev larg amount of data veri quickli i
70	1	2	1	comput is a small on for person or home us emploi for manipul text or graphic access the internet or plai game or media a
71	1	1	2	a programm machin that respond to specifi instruct and can execut a list of instruct known as a program a
72	1	1	1	a gener purpos machin that process data accord to a set of instruct store intern a
73	1	1	1	the comput perform all process by calcul compar and copi the data store in it memori ram a
74	1	1	1	a system of interconnect comput that share a central storag system and variou peripher devic such as a printer scanner or rout a
75	1	0	0	each comput connect to the system can oper independ but ha the abil to commun with other extern devic and comput a
76	1	2	2	a comput is an electron machin that store data inform to work with and give out the result a
77	1	0	0	digit comput us binari code a wai of write number us just zero and on to store and work with the data i
78	1	0	1	comput talk to each other on a network us a modem on of the piec of hardwar call a peripher becaus it is not a central part of the comput a
79	1	1	1	a comput is a devic for work with inform c
80	1	2	2	comput process inform that can be number word pictur movi or sound a comput inform is also call data i
81	1	2	2	an electron machin that can store and process data i a comput ha hardwar which is the machin itself and softwar which is a set of instruct a
82	1	3	3	comput respond to a specif set of instruct in a well defin manner and it can execut a prerecord list of instruct a program a
83	1	1	1	a comput is an electron machin that process inform in other word an inform processor a
84	1	2	2	comput take in raw inform or data at on end store it until it s readi to work on it chew and crunch it for a bit then spit out the result at the other end i all these process have a name i
85	1	2	2	a comput system is a basic complet and function comput includ all the hardwar and softwar requir to make it function for a user a
86	1	2	2	a comput system allow user to input manipul and store data i
87	1	1	1	comput system can work by themselv or access other devic that ar extern or connect with other comput system a
88	1	0	0	comput system typic includ a comput monitor keyboard mous and other option compon a
89	1	2	2	a comput is an electron devic which store data and process inform base upon the instruct provid by the user and gener the desir output a
90	1	1	1	a comput is a devic that comput or calcul number a
91	1	2	2	comput is defin as an electron comput devic character by high speed and accuraci a
92	1	3	3	comput is on of the electron devic which can perform a set of integr and consequ oper on a set of input data i
93	1	1	0	comput can process these oper accord to a set of instruct and order which ar logic and algorithm alli coordin to solv a specif problem to get us inform and result a
94	1	2	2	comput is a set of electron compon call hardwar and control by a set of oper system call softwar a
95	1	1	1	comput is a design for multipurpos function such as salari and wage and process the storag oper in factori and establish analyz sale for thei ar flexibl to assur effici commerci scientif medic and engin field i
96	1	1	1	a comput is a multipurpos electron devic that can receiv process and store data i
97	1	1	1	a comput is a machin that manipul data accord to a list of instruct call a program a
98	1	2	2	a comput can be defin as an electron machin that accept input data process it and give out result inform c a program or apt short for applic program in memori manag the process a
99	1	2	2	a comput is also a fairli complic tool intend to assist the user in accomplish inform base task rang from locat and acquir data inform to to process it to present or transmit it s
100	1	0	1	a comput base system is a system in which a comput is involv and consist of three major element hardwar softwar and user a
