Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18
45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
48,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
49,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
50,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5
51,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5
52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
54,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
55,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,5
56,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,5
57,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4
58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
61,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4
62,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
64,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
65,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
66,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5
67,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
68,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5
69,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,8
70,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
71,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4
72,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
73,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4
74,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
76,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
77,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
80,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
81,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5
82,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4
83,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
87,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4
90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
91,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
92,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,6
93,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,6
94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
96,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4
97,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5
98,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6
99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
